princeton,city_name,state_code,distance_learning,tuition,website,gpa,SAT,ACT
American Intercontinental University,Houston,TX,0,0,http://www.houston.aiuniv.edu,3.14,1325,30
American Intercontinental University,Los Angeles,CA,0,0,http://www.aiula.com,3.45,1226,27
American InterContinental University,Atlanta,GA,0,0,http://www.aiuniv.edu,3.37,1164,26
American Intercontinental University Online,Hoffman Estates,IL,0,0,http://www.aiuonline.edu,3.27,1321,30
American Intercontinental University-Dunwoody Campus,Atlanta,GA,0,0,http://www.aiuniv.edu,3.36,1296,29
American International College,Springfield,MA,0,0,http://www.aic.edu,3.64,1450,32
American Jewish University,Los Angeles,CA,0,0,http://www.ajula.edu,3.7,1254,28
American Public University System,Charles Town,WV,0,0,http://www.apus.edu,3.43,1221,27
American River College,Sacramento,CA,0,0,http://www.arc.losrios.edu/,3.27,1100,25
American Samoa Community College,Pago Pago,AS,0,0,http://www.amsamoa.edu,3.46,1111,25
American University,Washington,DC,1,31447,http://www.american.edu,3.26,1115,25
American University of Health Sciences,Long Beach,CA,0,0,http://www.auhs.edu,3.51,1136,25
American University of Puerto Rico,Bayamon,PR,0,0,http://www.aupr.edu,3.4,1100,25
American University of Puerto Rico,Manati,PR,0,0,http://www.aupr.edu,3.6,1211,27
Americare School of Nursing,Fern Park,FL,0,0,http://americareschoolofnursing.com,3.1,1409,32
AmeriTech College,Draper,UT,0,0,http://www.ameritech.edu,3.7,1316,29
Amherst College,Amherst,MA,0,0,http://www.amherst.edu,3.12,1232,28
Amridge University,Montgomery,AL,1,8234,http://www.amridgeuniversity.edu,3.34,1101,25
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,0,0,http://www.ambs.edu,3.15,1294,29
Ancilla College,Donaldson,IN,1,13503,http://www.ancilla.edu,3.24,1326,30
Anderson University,Anderson,IN,1,22179,http://www.anderson.edu,3.04,1347,30
Anderson University,Anderson,SC,1,15517,http://www.andersonuniversity.edu,3.47,1336,30
Andover College,Portland,ME,0,0,http://www.andovercollege.edu,3.45,1249,28
Andover Newton Theological School,Newton Centre,MA,1,0,http://www.ants.edu,3.39,1235,28
Andrew College,Cuthbert,GA,0,15148,http://www.andrewcollege.edu,3.23,1134,25
Andrews University,Berrien Springs,MI,1,18671,http://www.andrews.edu,3.7,1424,32
Angelina College,Lufkin,TX,0,0,http://www.angelina.edu,3.18,1218,27
Angelo State University,San Angelo,TX,0,0,http://www.angelo.edu,3.15,1204,27
Angley College,Deland,FL,0,0,http://www.angley.edu,3.69,1232,28
Anna Maria College,Paxton,MA,1,23259,http://www.annamaria.edu,3.52,1428,32
Anne Arundel Community College,Arnold,MD,0,0,http://www.aacc.edu,3.3,1428,32
Anoka Technical College,Anoka,MN,0,0,http://www.anokatech.edu,3.26,1301,29
Anoka-Ramsey Community College,Coon Rapids,MN,0,0,http://www.anokaramsey.edu,3.67,1424,32
Antelope Valley College,Lancaster,CA,0,0,http://www.avc.edu,3.61,1226,27
Anthem College-Denver,Aurora,CO,0,0,http://www.cambridgecollege.com,3.25,1274,28
Antioch College,Yellow Springs,OH,0,0,http://www.antioch-college.edu,3.45,1318,29
Antioch University McGregor,Yellow Springs,OH,0,0,http://www.mcgregor.edu,3.41,1296,29
Antioch University New England,Keene,NH,0,0,http://www.antiochne.edu,3.49,1408,32
Antioch University PhD Program in Leadership and Change,Yellow Springs,OH,0,0,http://www.phd.antioch.edu,3.49,1273,28
Antioch University Seattle,Seattle,WA,0,0,http://www.antiochsea.edu,3.62,1284,29
Antioch University-Los Angeles Branch,Culver City,CA,0,0,http://www.antiochla.edu,3.6,1152,26
Antioch University-Santa Barbara,Santa Barbara,CA,0,0,http://www.antiochsb.edu,3.14,1365,31
Antioch University-System Administration,Yellow Springs,OH,0,0,http://www.antioch.edu,3.2,1286,29
Antonelli College,Cincinnati,OH,0,0,http://www.antonellicollege.edu,3.28,1133,25
Antonelli College,Jackson,MS,0,0,http://www.antonellicollege.edu,3.59,1378,31
Antonelli College,Hattiesburg,MS,0,0,http://antonellicollege.edu,3,1418,32
Antonelli Institute,Erdenheim,PA,0,0,http://www.antonelli.edu,3.39,1225,27
Apex School of Theology,Durham,NC,1,8718,http://www.apexsot.edu,3.37,1130,25
Apollo College,Boise,ID,0,0,http://www.apollocollege.edu,3.24,1378,31
Apollo College-Portland Inc,Portland,OR,0,0,http://www.apollocollege.edu,3.58,1332,30
Apostolic Bible Institute Inc,Saint Paul,MN,0,8887,http://www.apostolic.org,3.56,1414,32
Appalachian Bible College,Mount Hope,WV,1,14371,http://www.abc.edu,3.2,1269,28
Appalachian School of Law,Grundy,VA,0,0,http://www.asl.edu,3.08,1442,32
Appalachian State University,Boone,NC,0,0,http://www.appstate.edu/,3.3,1284,29
Appalachian Technical College,Jasper,GA,0,0,http://www.appalachiantech.edu,3.52,1378,31
Aquinas College,Grand Rapids,MI,0,15242,http://www.aquinas.edu,3.65,1409,32
Aquinas College,Nashville,TN,0,18214,http://www.aquinascollege.edu,3.25,1276,29
Aquinas Institute of Theology,Saint Louis,MO,1,0,http://www.ai.edu,3.26,1430,32
Arapahoe Community College,Littleton,CO,0,0,http://www.arapahoe.edu,3.25,1248,28
Arcadia University,Glenside,PA,1,24191,http://www.arcadia.edu,3.32,1417,32
Argosy University-Atlanta,Atlanta,GA,0,0,http://www.argosy.edu/locations/atlanta,3.4,1285,29
Argosy University-Chicago,Chicago,IL,0,0,http://www.argosy.edu/locations/chicago-downtown/,3.36,1102,25
Argosy University-Dallas,Dallas,TX,0,0,http://www.argosy.edu/locations/dallas/,3.09,1342,30
Argosy University-Denver,Denver,CO,0,0,http://www.argosy.edu/locations/denver/,3.32,1444,32
Argosy University-Hawaii,Honolulu,HI,0,0,http://www.argosy.edu/locations/hawaii/,3.54,1363,30
Argosy University-Inland Empire,San Bernardino,CA,0,0,http://www.argosy.edu/locations/los-angeles-inland-empire/,3.56,1122,25
Argosy University-Los Angeles,Santa Monica,CA,0,0,http://www.argosy.edu/locations/los-angeles,3.42,1227,27
Argosy University-Nashville,Nashville,TN,0,0,http://www.argosy.edu/locations/nashville/,3.51,1407,31
Argosy University-Orange County,Santa Ana,CA,0,0,http://www.argosy.edu/locations/los-angeles-orange-county/,3.02,1362,30
Argosy University-San Diego,San Diego,CA,0,0,http://www.argosy.edu/locations/san-diego/,3.51,1235,28
Argosy University-San Francisco Bay Area,Alameda,CA,0,0,http://www.argosy.edu/locations/san-francisco/,3.31,1157,26
Argosy University-Sarasota,Sarasota,FL,0,0,http://www.argosy.edu/locations/sarasota/,3.29,1401,31
Argosy University-Schaumburg,Schaumburg,IL,0,0,http://www.argosy.edu/locations/chicago-schaumburg/,3.11,1289,29
Argosy University-Seattle,Seattle,WA,0,0,http://www.argosy.edu/locations/seattle/,3.56,1407,31
Argosy University-Tampa,Tampa,FL,0,0,http://www.argosy.edu/locations/tampa/,3.57,1337,30
Argosy University-Twin Cities,Eagan,MN,0,0,http://www.argosy.edu/twin-cities/,3.09,1304,29
Argosy University-Washington D.C.,Arlington,VA,0,0,http://www.argosy.edu/locations/washington-dc/,3.62,1428,32
Arizona Automotive Institute,Glendale,AZ,0,0,http://www.aai.edu,3.58,1278,29
Arizona Board of Regents,Phoenix,AZ,0,0,http://www.azregents.edu,3.28,1114,25
Arizona Christian University,Phoenix,AZ,1,21749,http://www.arizonachristian.edu,3.69,1200,27
Arizona College of Allied Health,Glendale,AZ,0,0,http://www.arizonacollege.edu,3.49,1113,25
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,0,0,http://www.asaom.edu,3.01,1187,26
Arizona State University,Tempe,AZ,0,0,http://www.asu.edu,3,1259,28
Arizona State University at the Polytechnic Campus,Mesa,AZ,0,0,http://www.poly.asu.edu,3.01,1224,27
Arizona State University at the West Campus,Glendale,AZ,0,0,http://www.west.asu.edu,3.32,1115,25
Arizona Western College,Yuma,AZ,0,0,http://www.azwestern.edu,3.55,1342,30
Arkansas Baptist College,Little Rock,AR,0,14843,http://www.arkansasbaptist.edu,3.14,1313,29
Arkansas Northeastern College,Blytheville,AR,0,0,http://www.anc.edu,3.45,1346,30
Arkansas State University System Office,Jonesboro,AR,0,0,http://www.astate.edu,3.47,1304,29
Arkansas State University-Beebe,Beebe,AR,0,0,http://www.asub.edu,3.31,1323,30
Arkansas State University-Main Campus,State University,AR,0,0,http://www.astate.edu,3.31,1125,25
Arkansas State University-Mountain Home,Mountain Home,AR,0,0,http://www.asumh.edu,3.34,1131,25
Arkansas State University-Newport,Newport,AR,0,0,http://www.asun.edu,3.01,1231,27
Arkansas Tech University,Russellville,AR,0,0,http://www.atu.edu,3.24,1378,31
Arlington Baptist College,Arlington,TX,1,0,http://www.arlingtonbaptistcollege.edu,3.07,1181,26
Armstrong Atlantic State University,Savannah,GA,0,0,http://www.armstrong.edu,3.67,1322,30
Art Academy of Cincinnati,Cincinnati,OH,0,0,http://www.artacademy.edu,3.57,1264,28
Art Center College of Design,Pasadena,CA,0,0,http://www.artcenter.edu,3.7,1116,25
ASA Institute of Business and Computer Technology,Brooklyn,NY,0,0,http://www.asa.edu,3.43,1355,30
Asbury College,Wilmore,KY,0,0,http://www.asbury.edu,3.14,1160,26
Asbury Theological Seminary,Wilmore,KY,1,0,http://www.asburyseminary.edu,3.21,1352,30
Asheville-Buncombe Technical Community College,Asheville,NC,0,0,http://www.abtech.edu,3.59,1221,27
Ashford University,Clinton,IA,0,0,http://www.ashford.edu,3.24,1187,26
Ashland Community and Technical College,Ashland,KY,0,0,http://www.ashland.kctcs.edu/,3.44,1113,25
Ashland University,Ashland,OH,1,22041,http://www.ashland.edu,3.46,1294,29
Asnuntuck Community College,Enfield,CT,0,0,http://www.acc.commnet.edu,3.31,1424,32
Assemblies of God Theological Seminary,Springfield,MO,1,0,http://www.agts.edu,3.01,1188,27
Assumption College,Worcester,MA,1,25563,http://www.assumption.edu,3.52,1105,25
Assumption College for Sisters,Mendham,NJ,0,0,http://www.acs350.org,3.69,1318,29
Athenaeum of Ohio,Cincinnati,OH,0,0,http://www.athenaeum.edu,3.65,1406,31
Athens State University,Athens,AL,0,0,http://www.athens.edu,3.68,1175,26
Athens Technical College,Athens,GA,0,0,http://www.athenstech.edu,3.38,1303,29
ATI Career Training Center,Dallas,TX,0,0,http://www.aticareertraining.edu,3.26,1336,30
ATI Career Training Center,Fort Lauderdale,FL,0,0,http://www.aticareertraining.edu,3.13,1443,32
ATI College of Health,Miami,FL,0,0,http://www.aticareertraining.edu,3.27,1234,28
Atlanta Metropolitan College,Atlanta,GA,0,0,http://www.atlm.edu,3.65,1297,29
Atlanta Technical College,Atlanta,GA,0,0,http://www.atlantatech.org/,3.62,1151,26
Atlantic Cape Community College,Mays Landing,NJ,0,0,http://www.atlantic.edu,3.38,1366,31
Atlantic College,Guaynabo,PR,0,0,http://www.atlanticcollege-pr.com,3.03,1220,27
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,0,0,http://www.atom.edu,3.61,1399,31
ATS Institute of Technology,Highland Heights,OH,0,0,http://www.atsinstitute.com,3.64,1336,30
Auburn University Main Campus,Auburn University,AL,0,0,http://www.auburn.edu,3.16,1370,31
Auburn University-Montgomery,Montgomery,AL,0,0,http://www.aum.edu,3.66,1449,32
Augsburg College,Minneapolis,MN,0,20548,http://www.augsburg.edu,3.63,1449,32
Augusta State University,Augusta,GA,0,0,http://www.aug.edu,3.32,1423,32
Augusta Technical College,Augusta,GA,0,0,http://www.augustatech.edu,3.02,1223,27
Augustana College,Sioux Falls,SD,0,18321,http://www.augie.edu,3.27,1439,32
Augustana College,Rock Island,IL,0,21840,http://www.augustana.edu,3.39,1257,28
Aultman College of Nursing and Health Sciences,Canton,OH,0,0,http://www.aultmancollege.org,3.23,1247,28
Aurora University,Aurora,IL,0,0,http://www.aurora.edu,3.51,1141,25
Austin Business College,Austin,TX,0,0,http://www.abctx.edu,3,1249,28
Austin College,Sherman,TX,0,21255,http://www.austincollege.edu,3.01,1158,26
Austin Community College District,Austin,TX,0,0,http://www.austincc.edu,3.15,1374,31
Austin Graduate School of Theology,Austin,TX,0,0,http://www.austingrad.edu,3.17,1374,31
Austin Peay State University,Clarksville,TN,0,0,http://www.apsu.edu,3.6,1195,27
Austin Presbyterian Theological Seminary,Austin,TX,0,0,http://www.austinseminary.edu,3.08,1132,25
Ave Maria School of Law,Naples,FL,0,0,http://www.avemarialaw.edu,3.59,1424,32
Ave Maria University,Ave Maria,FL,0,16175,http://www.avemaria.edu,3.54,1412,32
Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD,0,0,http://www.mckennan.org,3.17,1428,32
Avera Sacred Heart Hospital,Yankton,SD,0,0,http://www.averasacredheart.org,3.37,1221,27
Averett University,Danville,VA,0,0,http://www.averett.edu,3.53,1113,25
Averett University-Non-traditional programs,Danville,VA,0,0,http://www.averett.edu/working-professionals/index.html,3.19,1388,31
Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,0,0,http://www.aviationmaintenance.edu,3.53,1447,32
Aviation Institute of Maintenance-Indianapolis,Indianapolis,IN,0,0,http://www.aviationmaintenance.edu,3.64,1413,32
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,0,0,http://www.aviationmaintenance.edu,3.44,1345,30
Aviation Institute of Maintenance-Manassas,Manassas,VA,0,0,,3.23,1393,31
Avila University,Kansas City,MO,1,18325,http://www.avila.edu,3.6,1200,27
Azusa Pacific Online University,Glendora,CA,1,0,http://www.apu.edu/apou/,3.5,1304,29
Azusa Pacific University,Azusa,CA,1,27255,http://www.apu.edu,3.53,1332,30
Babson College,Wellesley,MA,0,0,http://www.babson.edu,3.57,1326,30
Bacone College,Muskogee,OK,1,15601,http://www.bacone.edu,3.69,1343,30
Bainbridge College,Bainbridge,GA,0,0,http://www.bainbridge.edu,3.59,1336,30
Bais Binyomin Academy,Stamford,CT,0,0,,3.47,1199,27
Bais Medrash Elyon,Monsey,NY,0,0,,3.34,1182,26
Bais Medrash Toras Chesed,Lakewood,NJ,0,0,,3.61,1353,30
Baker College Center for Graduate Studies,Flint,MI,0,0,http://www.baker.edu,3.15,1176,26
Baker College Corporate Services,Auburn Hills,MI,0,0,http://www.baker.edu,3.23,1330,30
Baker College of Allen Park,Allen Park,MI,0,0,http://www.baker.edu,3.44,1446,32
Baker College of Auburn Hills,Auburn Hills,MI,0,0,http://www.baker.edu,3.65,1259,28
Baker College of Cadillac,Cadillac,MI,0,0,http://www.baker.edu,3.7,1297,29
Baker College of Clinton Township,Clinton Township,MI,0,0,http://www.baker.edu,3.16,1207,27
Baker College of Flint,Flint,MI,0,0,http://www.baker.edu,3.21,1171,26
Baker College of Jackson,Jackson,MI,0,0,http://www.baker.edu,3.27,1212,27
Baker College of Muskegon,Muskegon,MI,0,0,http://www.baker.edu,3.33,1119,25
Baker College of Owosso,Owosso,MI,0,0,http://www.baker.edu,3.67,1406,31
Baker College of Port Huron,Port Huron,MI,0,0,http://www.baker.edu,3.29,1281,29
Baker University,Baldwin City,KS,1,19445,http://www.bakeru.edu,3.07,1369,31
Bakersfield College,Bakersfield,CA,0,0,http://www.bakersfieldcollege.edu/,3.41,1116,25
Baldwin-Wallace College,Berea,OH,1,19346,http://www.bw.edu,3.32,1103,25
Ball State University,Muncie,IN,0,0,http://www.bsu.edu,3.17,1416,32
Baltimore City Community College,Baltimore,MD,0,0,http://www.bccc.edu,3.16,1111,25
Baltimore Hebrew University Inc,Baltimore,MD,0,0,http://www.bhu.edu,3.2,1173,26
Baltimore International College,Baltimore,MD,0,0,http://www.bic.edu,3.37,1112,25
Bangor Theological Seminary,Bangor,ME,0,0,http://www.bts.edu,3.7,1183,26
Bank Street College of Education,New York,NY,0,0,http://www.bankstreet.edu,3.28,1235,28
Baptist Bible College,Springfield,MO,0,10605,http://www.gobbc.edu,3.24,1256,28
Baptist Bible College & Seminary of Pennsylvania,Clarks Summit,PA,0,17244,http://www.bbc.edu,3.32,1383,31
Baptist Health Schools-Little Rock,Little Rock,AR,1,14279,http://www.bhslr.edu,3.5,1351,30
Baptist Memorial College of Health Sciences,Memphis,TN,1,15105,http://www.bchs.edu,3.23,1167,26
Baptist Missionary Association Theological Seminary,Jacksonville,TX,1,3276,http://www.bmats.edu,3.39,1246,28
Baptist Theological Seminary at Richmond,Richmond,VA,1,0,http://www.btsr.edu,3.04,1309,29
Baptist University of the Americas,San Antonio,TX,0,9426,http://www.bua.edu,3.62,1226,27
Barclay College,Haviland,KS,1,11878,http://www.barclaycollege.edu,3,1283,29
Bard College,Annandale-On-Hudson,NY,0,0,http://www.bard.edu,3.03,1432,32
Bard College at Simon's Rock,Great Barrington,MA,0,0,http://www.simons-rock.edu,3.52,1399,31
Barnard College,New York,NY,0,0,http://www.barnard.edu,3.05,1135,25
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,0,0,http://www.barnesjewishcollege.edu,3.03,1319,29
Barry University,Miami,FL,0,18257,http://www.barry.edu,3.07,1222,27
Barstow Community College,Barstow,CA,0,0,http://www.barstow.edu,3.57,1340,30
Barton College,Wilson,NC,0,18366,http://www.barton.edu,3.29,1194,27
Barton County Community College,Great Bend,KS,0,0,http://www.bartonccc.edu,3.43,1193,27
Bastyr University,Kenmore,WA,0,0,http://www.bastyr.edu,3.08,1303,29
Bates College,Lewiston,ME,0,0,http://www.bates.edu/,3.64,1110,25
Bates Technical College,Tacoma,WA,0,0,http://www.bates.ctc.edu/,3.44,1185,26
Baton Rouge College,Baton Rouge,LA,0,0,http://brc.edu,3.04,1273,28
Baton Rouge Community College,Baton Rouge,LA,0,0,http://www.mybrcc.edu,3.26,1169,26
Baton Rouge School of Computers,Baton Rouge,LA,0,0,http://www.brsc.edu,3.04,1275,28
Bauder College,Atlanta,GA,0,0,http://www.bauder.edu,3.03,1415,32
Bay de Noc Community College,Escanaba,MI,0,0,http://www.baycollege.edu,3.43,1359,30
Bay Mills Community College,Brimley,MI,0,0,http://www.bmcc.edu,3.1,1428,32
Bay Path College,Longmeadow,MA,0,0,http://www.baypath.edu,3.69,1405,31
Bay State College,Boston,MA,0,0,http://www.baystate.edu,3.63,1215,27
Bayamon Central University,Bayam?_n,PR,0,4857,http://www.ucb.edu.pr,3.37,1330,30
Baylor College of Medicine,Houston,TX,0,0,http://www.bcm.edu,3.44,1183,26
Baylor University,Waco,TX,0,26870,http://www.baylor.edu,3.05,1363,30
Beacon College,Leesburg,FL,0,0,http://www.beaconcollege.edu,3.43,1167,26
Beal College,Bangor,ME,0,0,http://bealcollege.edu,3.64,1356,30
Beaufort County Community College,Washington,NC,0,0,http://www.beaufortccc.edu,3.66,1260,28
Becker College,Worcester,MA,0,0,http://www.becker.edu,3.47,1240,28
Beckfield College,Florence,KY,0,0,http://www.beckfield.edu,3.39,1243,28
Beis Medrash Heichal Dovid,Far Rockaway,NY,0,0,,3.57,1418,32
Bel-Rea Institute of Animal Technology,Denver,CO,0,0,http://www.bel-rea.com,3.24,1444,32
Belhaven University,Jackson,MS,1,18778,http://www.belhaven.edu,3.4,1409,32
Bellarmine University,Louisville,KY,0,22128,http://www.bellarmine.edu,3.37,1394,31
Bellevue Community College,Bellevue,WA,0,0,http://bellevuecollege.edu/,3.04,1131,25
Bellevue University,Bellevue,NE,0,0,http://bellevue.edu,3.42,1131,25
Bellin College of Nursing,Green Bay,WI,0,0,http://www.bcon.edu,3.44,1160,26
Bellingham Technical College,Bellingham,WA,0,0,http://www.btc.ctc.edu,3.61,1279,29
Belmont Abbey College,Belmont,NC,0,22126,http://www.belmontabbeycollege.edu,3.48,1283,29
Belmont Technical College,Saint Clairsville,OH,0,0,http://www.btc.edu,3.47,1320,30
Belmont University,Nashville,TN,1,27285,http://www.belmont.edu,3.49,1280,29
Beloit College,Beloit,WI,0,0,http://www.beloit.edu,3.17,1250,28
Bemidji State University,Bemidji,MN,0,0,http://www.bemidjistate.edu,3.46,1321,30
Benedict College,Columbia,SC,0,16296,http://www.benedict.edu,3.29,1408,32
Benedictine College,Atchison,KS,0,22014,http://www.benedictine.edu,3.22,1404,31
Benedictine University,Lisle,IL,1,18508,http://www.ben.edu,3.69,1361,30
Benjamin Franklin Institute of Technology,Boston,MA,0,0,http://www.bfit.edu/,3.13,1223,27
Bennett College for Women,Greensboro,NC,0,18915,http://www.bennett.edu,3.42,1123,25
Bennington College,Bennington,VT,0,0,http://www.bennington.edu,3.63,1199,27
Bentley University,Waltham,MA,0,0,http://www.bentley.edu,3.4,1175,26
